"","fips","county","democrat","republican","other","totalpopulation"
"73",51153,"PRINCE WILLIAM",0.543214650181836,0.433961261079558,0.0228240887386063,"482204"
"74",51155,"PULASKI",0.34975675928772,0.624642038024477,0.0256012026878026,"33800"
"75",51157,"RAPPAHANNOCK",0.435453070218233,0.538336378872341,0.0262105509094252,"7348"
"76",51159,"RICHMOND",0.386837655813003,0.596893563458135,0.0162687807288615,"8923"
"77",51161,"ROANOKE",0.364724580838692,0.613084278873503,0.0221911402878054,"96929"
"78",51163,"ROCKBRIDGE",0.375918010098174,0.596879270284632,0.027202719617194,"22650"
"79",51165,"ROCKINGHAM",0.272121250949308,0.704365727086108,0.0235130219645844,"83757"
"80",51167,"RUSSELL",0.343467934354818,0.637346419384496,0.0191856462606857,"25781"
"81",51169,"SCOTT",0.256975317041297,0.72411333926285,0.0189113436958535,"21576"
"82",51171,"SHENANDOAH",0.307913170171107,0.668336890414289,0.0237499394146041,"44186"
"83",51173,"SMYTH",0.306466390120094,0.67090011588853,0.022633493991376,"29800"
"84",51175,"SOUTHAMPTON",0.45553560230775,0.53263290573955,0.0118314919526998,"17996"
"85",51177,"SPOTSYLVANIA",0.414491920714735,0.562503349969092,0.0230047293161735,"140032"
"86",51179,"STAFFORD",0.430514894700482,0.545745334461864,0.0237397708376545,"156927"
"87",51181,"SURRY",0.567437057835822,0.416690407508933,0.0158725346552451,"6561"
"88",51183,"SUSSEX",0.571620373445054,0.412425213637664,0.0159544129172817,"10829"
"89",51185,"TAZEWELL",0.283766417113215,0.698048109138284,0.0181854737485017,"40429"
"90",51187,"WARREN",0.363191292007343,0.606850284871228,0.029958423121429,"40727"
"91",51191,"WASHINGTON",0.291649897112749,0.686443224626999,0.0219068782602521,"53935"
"92",51193,"WESTMORELAND",0.492030499531882,0.490777742719177,0.0171917577489413,"18477"
"93",51195,"WISE",0.309352957095833,0.673370697470861,0.0172763454333066,"36130"
"94",51197,"WYTHE",0.283258353642576,0.697688275967395,0.0190533703900289,"28290"
"95",51199,"YORK",0.387321854150815,0.58767712710893,0.0250010187402554,"70045"
"96",51510,"ALEXANDRIA",0.710705652771199,0.26126379872692,0.0280305485018805,"159467"
"97",51520,"BRISTOL",0.339130530583921,0.64027918090511,0.0205902885109689,"17219"
"98",51530,"BUENA VISTA",0.379075426450851,0.58380077917409,0.0371237943750591,"6641"
"99",51540,"CHARLOTTESVILLE",0.749490281806818,0.210045112563345,0.0404646056298371,"46553"
"100",51550,"CHESAPEAKE",0.477124299023637,0.502921496788325,0.0199542041880382,"249422"
"101",51570,"COLONIAL HEIGHTS",0.284850658911342,0.694415044821442,0.0207342962672164,"18170"
"102",51580,"COVINGTON",0.485672680731856,0.490198075563867,0.0241292437042776,"5737"
"103",51590,"DANVILLE",0.554033591434527,0.42638692610305,0.0195794824624232,"42590"
"104",51595,"EMPORIA",0.622663658581011,0.368117357624898,0.00921898379409173,"5766"
"105",51600,"FAIRFAX",0.568219160757604,0.400618751314243,0.0311620879281527,"24146"
"106",51610,"FALLS CHURCH",0.691317972415754,0.27461549938025,0.0340665282039965,"14658"
"107",51620,"FRANKLIN",0.603237118095529,0.384476283621034,0.0122865982834361,"8180"
"108",51630,"FREDERICKSBURG",0.593491291394114,0.373726599516452,0.032782109089434,"27982"
"109",51640,"GALAX",0.381172833438796,0.60012510537901,0.0187020611821948,"6720"
"110",51650,"HAMPTON",0.651434186043831,0.329415725458455,0.0191500884977138,"137148"
"111",51660,"HARRISONBURG",0.520151467453583,0.440620083228389,0.0392284493180275,"51814"
"112",51670,"HOPEWELL",0.516729111060863,0.461898402004071,0.0213724869350662,"23033"
"113",51678,"LEXINGTON",0.582968232316511,0.383162971491861,0.0338687961916274,"7320"
"114",51680,"LYNCHBURG",0.451474601463112,0.518421577314133,0.0301038212227552,"79009"
"115",51683,"MANASSAS",0.520176819880654,0.454154865598216,0.0256683145211294,"42772"
"116",51685,"MANASSAS PARK",0.556192054499215,0.420682746355228,0.0231251991455565,"17219"
"117",51690,"MARTINSVILLE",0.59145025928639,0.391355911502399,0.0171938292112111,"13485"
"118",51700,"NEWPORT NEWS",0.595522006530231,0.382887447847966,0.0215905456218033,"186247"
"119",51710,"NORFOLK",0.677338197883281,0.298902627843029,0.0237591742736902,"238005"
"120",51720,"NORTON",0.411936809017933,0.568703656075496,0.01935953490657,"3687"
"121",51730,"PETERSBURG",0.85569066110831,0.132189017286835,0.0121203216048547,"33458"
"122",51735,"POQUOSON",0.239167098262191,0.73524456510362,0.025588336634189,"12460"
"123",51740,"PORTSMOUTH",0.665252347377822,0.317055431748036,0.0176922208741412,"97915"
"124",51750,"RADFORD",0.497449175880592,0.468008053486004,0.034542770633404,"16070"
"125",51760,"RICHMOND",0.755527534645126,0.217373372554548,0.0270990928003255,"226610"
"126",51770,"ROANOKE",0.575840027838372,0.397690972367276,0.0264689997943521,"100011"
"127",51775,"SALEM",0.385832237629255,0.589629152242424,0.024538610128321,"25346"
"128",51790,"STAUNTON",0.46803460042799,0.504065944578751,0.0278994549932589,"25750"
"129",51800,"SUFFOLK",0.537921061531844,0.445071795677282,0.0170071427908738,"94324"
"130",51810,"VIRGINIA BEACH",0.458710641100693,0.516227712251712,0.025061646647595,"459470"
"131",51820,"WAYNESBORO",0.414256035235211,0.556385577034446,0.0293583877303422,"22196"
"132",51830,"WILLIAMSBURG",0.604025823502956,0.364167063536331,0.0318071129607135,"15425"
"133",51840,"WINCHESTER",0.481691052986319,0.489928293981321,0.0283806530323602,"28120"
